Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1987,Mike Adams,Arizona State,CB,69.80,198,8.50,30.50,,4.42,13,32.0,118,4.60,,11.91
1987,John Adickes,Baylor,C,74.80,266,10.25,30.00,,4.97,25,26.5,103,4.60,9.99,
1987,Tommy Agee,Auburn,FB,71.80,217,9.00,30.75,,9.99,15,,,9.99,9.99,
1987,David Alexander,Tulsa (OK),C,75.00,279,10.50,32.75,,5.13,22,27.5,105,4.33,9.99,
1987,Lyneal Alston,Southern Mississippi,WR,72.10,202,10.00,33.00,,4.64,7,32.0,114,4.52,9.99,11.85
1987,Steve Alvord,Washington,DE,76.50,273,8.75,34.00,,4.86,18,28.5,108,4.49,9.99,
1987,Anthony Anderson,Grambling State (LA),CB,73.60,208,8.50,32.50,,4.69,,31.0,111,4.48,9.99,12.17
1987,Joe Armentrout,Wisconsin,FB,72.30,220,10.25,30.50,,4.71,18,31.0,116,4.16,9.99,11.59
1987,Bruce Armstrong,Louisville,OT,76.00,284,10.25,32.75,,5.05,22,27.0,100,4.81,9.99,
1987,Gene Atkins,Florida A&M;,FS,71.30,191,9.00,29.75,,4.58,14,31.0,120,4.55,9.99,12.05
1987,Robert Awalt,San Diego State,TE,77.00,239,9.50,30.75,,4.86,,28.0,108,4.45,9.99,12.07
1987,Stephen Baker,Frenso State (CA),WR,68.00,157,8.25,30.25,,4.60,,31.0,116,4.41,9.99,11.89
1987,Jerry Ball,Southern Methodist (TX),DT,72.10,292,9.00,31.25,,5.14,23,24.0,96,4.77,9.99,
1987,Robert Banks,Notre Dame,DT,76.00,250,8.50,31.50,,4.98,18,,,9.99,9.99,
1987,Roy Banks,Eastern Illinois,WR,70.10,188,9.50,32.00,,4.52,4,32.0,114,4.26,9.99,11.31
1987,Roland Barbay,Louisiana State,DE,75.40,259,10.00,32.50,,5.18,13,21.5,91,4.59,9.99,
1987,Steve Bartalo,Colorado State,RB,68.80,201,9.50,28.00,,4.83,14,28.5,114,4.05,9.99,11.34
1987,Doug Bartlett,Northern Illinois,OLB,74.30,250,9.75,30.75,,4.75,31,31.0,112,4.12,9.99,
1987,Harris Barton,North Carolina,C,76.30,280,9.50,31.75,,5.03,24,31.0,106,4.46,9.99,
1987,Gerald Bayless,Bowling Green (OH),TE,75.80,235,9.25,32.00,,4.82,,26.0,108,4.34,9.99,11.62
1987,Albert Bell,Alabama,WR,70.80,174,9.25,30.00,,4.63,4,29.5,114,4.50,9.99,12.23
1987,Leonard Bell,Indiana,SS,70.80,201,8.75,30.50,,4.61,18,30.0,106,4.30,9.99,11.80
